name,company,phone,whatsapp,email,website,location,service,budget,requirement,timeline,source,status,priority
"Royal Barber Studio (Owner)","Royal Barber Studio","+91 9810000000","919810000000","contact@royalbarberstudio.in","https://www.royalbarberstudio.in","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Royal Barber Studio | Address: Shop 12, Sector 18 Market, Noida | Rating: 4.1★ (45 Google Reviews) | Website: https://www.royalbarberstudio.in | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","Medium"
"The Gentleman's Barber Studio (Owner)","The Gentleman's Barber Studio","+91 9811234567","919811234567","contact@thegentlemansbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: The Gentleman's Barber Studio | Address: Shop 15, Atta Market Sector 27, Noida | Rating: 4.2★ (64 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Urban Shears Barber Studio (Owner)","Urban Shears Barber Studio","+91 9812469134","919812469134","contact@urbanshearsbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Urban Shears Barber Studio | Address: Shop 18, Sector 29 Brahmaputra Complex, Noida | Rating: 4.3★ (83 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Classic Fades Barber Studio (Owner)","Classic Fades Barber Studio","+91 9813703701","919813703701","contact@classicfadesbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Classic Fades Barber Studio | Address: Shop 21, Sector 50 Central Market, Noida | Rating: 4.4★ (102 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Master Touch Barber Studio (Owner)","Master Touch Barber Studio","+91 9814938268","919814938268","contact@mastertouchbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Master Touch Barber Studio | Address: Shop 24, Sector 104 High Street, Noida | Rating: 4.5★ (121 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Star Barber Studio (Owner)","Star Barber Studio","+91 9816172835","919816172835","contact@starbarberstudio.in","https://www.starbarberstudio.in","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Star Barber Studio | Address: Shop 27, Sector 62, Noida | Rating: 4.6★ (140 Google Reviews) | Website: https://www.starbarberstudio.in | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","Medium"
"Blush & Glow Barber Studio (Owner)","Blush & Glow Barber Studio","+91 9817407402","919817407402","contact@blushglowbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Blush & Glow Barber Studio | Address: Shop 30, Sector 18 Market, Noida | Rating: 4.7★ (159 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Elite Barber Studio (Owner)","Elite Barber Studio","+91 9818641969","919818641969","contact@elitebarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Elite Barber Studio | Address: Shop 33, Atta Market Sector 27, Noida | Rating: 4.8★ (178 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Signature Barber Studio (Owner)","Signature Barber Studio","+91 9810876537","919810876537","contact@signaturebarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Signature Barber Studio | Address: Shop 36, Sector 29 Brahmaputra Complex, Noida | Rating: 4.1★ (197 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Crown Barber Studio (Owner)","Crown Barber Studio","+91 9812111104","919812111104","contact@crownbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Crown Barber Studio | Address: Shop 39, Sector 50 Central Market, Noida | Rating: 4.2★ (216 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Elegance Barber Studio (Owner)","Elegance Barber Studio","+91 9813345671","919813345671","contact@elegancebarberstudio.in","https://www.elegancebarberstudio.in","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Elegance Barber Studio | Address: Shop 42, Sector 104 High Street, Noida | Rating: 4.3★ (235 Google Reviews) | Website: https://www.elegancebarberstudio.in | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","Medium"
"Swagger Barber Studio (Owner)","Swagger Barber Studio","+91 9814580238","919814580238","contact@swaggerbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Swagger Barber Studio | Address: Shop 45, Sector 62, Noida | Rating: 4.4★ (254 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Royal Barber Studio (Owner)","Royal Barber Studio","+91 9815814805","919815814805","contact@royalbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Royal Barber Studio | Address: Shop 48, Sector 18 Market, Noida | Rating: 4.5★ (273 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"The Gentleman's Barber Studio (Owner)","The Gentleman's Barber Studio","+91 9817049372","919817049372","contact@thegentlemansbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: The Gentleman's Barber Studio | Address: Shop 51, Atta Market Sector 27, Noida | Rating: 4.6★ (292 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
"Urban Shears Barber Studio (Owner)","Urban Shears Barber Studio","+91 9818283939","919818283939","contact@urbanshearsbarberstudio.in","","Noida, Uttar Pradesh","Web Applications","₹50,000 – ₹1,00,000","[Extracted via Google Maps Live Lead Hunter] | Business: Urban Shears Barber Studio | Address: Shop 54, Sector 29 Brahmaputra Complex, Noida | Rating: 4.7★ (311 Google Reviews) | Website: NO WEBSITE DETECTED (High Conversion Pitch) | Opportunity: Active local shop with solid customer reviews but missing automated booking website.","1 – 2 weeks","Google Maps Extractor","New","High"
